Label	Site-specific Study Identifier	Site-specific Experiment Identfier	Site Identifier	Data Provenance Information	Bacterial Strain	Internal  Compound ID	Internal  Compound Batch ID	TDD (Dose)	Group	Animal	Animal ID	Experiment Type 	Biomaterial	Date of Assessment/ Experiment	Experimental Protocol	Planned Relative Time point	Actual Relative Time point	Result Type	Statistical method	Result Operator	Result	Unit	Variation	Control Group	Validation	Comments	Data Quality Check 1:  Compound-Batch Match Check	Data Quality Check 2:  BACTERIAL_STRAIN_NAME BACTERIAL_STRAIN_SITE_REF Match Check
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	4	Treated-04	7		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.03	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	4	Treated-04	8		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	0.69	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	2	Treated-05	9		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.20	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	2	Treated-05	10		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.22	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	1	Treated-06	11		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.55	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	1	Treated-06	12		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.22	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	32	Treated-07	13		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-1.95	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	32	Treated-07	14		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-2.47	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	16	Treated-08	15		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-2.56	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	16	Treated-08	16		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-2.17	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	8	Treated-09	17		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-1.25	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	8	Treated-09	18		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	0.50	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	4	Treated-10	19		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	0.56	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	4	Treated-10	20		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-0.39	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	2	Treated-11	21		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.33	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	2	Treated-11	22		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.53	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	1	Treated-12	23		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	0.50	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0010	BATCH_ID_MKL369	1	Treated-12	24		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.52	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	Placebo	#NA (not applicable)	0	GrowthControl	25		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.48	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	Placebo	#NA (not applicable)	0	GrowthControl	26		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	1.50	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	#NA (not applicable)	#NA (not applicable)	#NA	InfectionControl	27		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	0	0	dCFU	#NA (not applicable)	=	#NA (not applicable)	#NA (not applicable)		#NA (not applicable)	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	#NA (not applicable)	#NA (not applicable)	#NA	InfectionControl	28		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	0	0	dCFU	#NA (not applicable)	=	#NA (not applicable)	#NA (not applicable)		#NA (not applicable)	V (valid)		û	ü
