Label	Site-specific Study Identifier	Site-specific Experiment Identifier	Internal  Compound ID	Internal  Compound Batch ID	External  Compound ID	External  Batch ID	Site Identifier	Data Provenance Information	Date of Assessment/Experiment	Biomaterial	Species 	Bacterial Strain	Site-specific Bacterial Strain Identifier	Assessment/Experiment	Protocol	Factors	Factors	Factors	Result Type	Statistical method	Result Operator	Result	Unit	Variation	Medium	Control Group	Validation	Comments
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0007	BATCH_ID_PLA886			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	<	0	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0008	BATCH_ID_GFR238			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	0	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0009	BATCH_ID_ASV127			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	KLEPN 43816		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	<	0	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0010	BATCH_ID_MKL369			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	KLEPN 43816		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	0	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0001	BATCH_ID_AYC789	Compound-A-0001	BATCH-AYC	EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0002	BATCH_ID_DGZ159			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0003	BATCH_ID_MKG248			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0004	BATCH_ID_BDO149			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0005	BATCH_ID_JNZ135			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0006	BATCH_ID_OLA378			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0007	BATCH_ID_PLA886			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0008	BATCH_ID_GFR238			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0009	BATCH_ID_ASV127			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_EVT_03	ELN-KE-64289	CPD_0010	BATCH_ID_MKL369			EVT	EVT@GNA-NOW.com	10/3/2021	Cell	Rats	#NA (not applicable)		HepG2_cytotoxicity	GNA-NOW_EVT_cytotoxicity_protocol_v01.pdf				AC50	Average	>	10	µM		#NA (not applicable)	#NA (not applicable)	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12859	CPD_0001	BATCH_ID_AYC789	Compound-A-0001	BATCH-AYC	NOS	NOS@GNA-NOW.com	28/1/2021	Bacteria	#NA (not applicable)	KLEOX 82917		Membrane_permeabilisation_inner	GNA-NOW_NOS_Membrane_permeabilisation_inner_protocol_v01.pdf				PERCENT	Average	=	0.5875	%		Membrane buffer	positive	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12859	CPD_0002	BATCH_ID_DGZ159			NOS	NOS@GNA-NOW.com	28/1/2021	Bacteria	#NA (not applicable)	KLEOX 82917		Membrane_permeabilisation_inner	GNA-NOW_NOS_Membrane_permeabilisation_inner_protocol_v01.pdf				PERCENT	Average	=	0.225	%		Membrane buffer	positive	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12859	CPD_0003	BATCH_ID_MKG248			NOS	NOS@GNA-NOW.com	28/1/2021	Bacteria	#NA (not applicable)	KLEOX 82917		Membrane_permeabilisation_inner	GNA-NOW_NOS_Membrane_permeabilisation_inner_protocol_v01.pdf				PERCENT	Average	=	0.325	%		Membrane buffer	positive	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0001	BATCH_ID_AYC789			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	0.938	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0002	BATCH_ID_DGZ159			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	0.072525	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0003	BATCH_ID_MKG248			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	2.035	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0004	BATCH_ID_BDO149			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	0.087225	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0005	BATCH_ID_JNZ135			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	4.40625	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0006	BATCH_ID_OLA378			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	0.066675	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0007	BATCH_ID_PLA886			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	0.063575	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0008	BATCH_ID_GFR238			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	>	5	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0009	BATCH_ID_ASV127			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	=	0.10075	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12860	CPD_0010	BATCH_ID_MKL369			NOS	NOS@GNA-NOW.com	29/1/2021	Bacteria	#NA (not applicable)	#NA (not applicable)		IVTT	GNA-NOW_NOS_IVTT_v01.pdf				IC50	Single value	>	5	µM		#NA (not applicable)	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12861	CPD_0001	BATCH_ID_AYC789			NOS	NOS@GNA-NOW.com	15/9/2020	Bacteria	#NA (not applicable)	KLEOX 79245		Membrane_permeabilisation_outer	GNA-NOW_NOS_Membrane_permeabilisation_outer_v01.pdf				PERCENT	Average	=	8.8625	%		Membrane buffer	positive	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12861	CPD_0002	BATCH_ID_DGZ159			NOS	NOS@GNA-NOW.com	15/9/2020	Bacteria	#NA (not applicable)	KLEOX 79245		Membrane_permeabilisation_outer	GNA-NOW_NOS_Membrane_permeabilisation_outer_v01.pdf				PERCENT	Average	=	2.7	%		Membrane buffer	positive	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12861	CPD_0003	BATCH_ID_MKG248			NOS	NOS@GNA-NOW.com	15/9/2020	Bacteria	#NA (not applicable)	KLEOX 79245		Membrane_permeabilisation_outer	GNA-NOW_NOS_Membrane_permeabilisation_outer_v01.pdf				PERCENT	Average	=	10.3875	%		Membrane buffer	positive	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0001	BATCH_ID_AYC789			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	-0.0600185666	%	0.004191062142	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0002	BATCH_ID_DGZ159			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	-0.01379503352	%	0.02490796776	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0003	BATCH_ID_MKG248			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	0.03797055146	%	0.02282079147	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0004	BATCH_ID_BDO149			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	0.03302854587	%	0.02447651573	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0005	BATCH_ID_JNZ135			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	-0.02179643263	%	0.029426838	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0006	BATCH_ID_OLA378			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	0.04646128311	%	0.005850144838	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0007	BATCH_ID_PLA886			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	0.04094268348	%	0.03664568535	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0008	BATCH_ID_GFR238			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	0.002153997593	%	0.01791577195	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0009	BATCH_ID_ASV127			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	-0.03624335839	%	0.01841229072	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NOS_07A	ELN-TR-12862	CPD_0010	BATCH_ID_MKL369			NOS	NOS@GNA-NOW.com	2/7/2020	Animal	Mice	#NA (not applicable)		Hemolysis	GNA-NOW_NOS_Hemolysis_v01.pdf				PERCENT	Average	=	-0.01827737848	%	0.004928831205	Tyrode buffer	untreated	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55489	CPD_0001	BATCH_ID_AYC789			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55489	CPD_0002	BATCH_ID_DGZ159			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	>	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55489	CPD_0003	BATCH_ID_MKG248			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	0.5	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55489	CPD_0004	BATCH_ID_BDO149			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55489	CPD_0005	BATCH_ID_JNZ135			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	>	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55490	CPD_0006	BATCH_ID_OLA378			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	1	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55490	CPD_0007	BATCH_ID_PLA886			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	>	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55490	CPD_0008	BATCH_ID_GFR238			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	2	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55490	CPD_0009	BATCH_ID_ASV127			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	2	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55490	CPD_0010	BATCH_ID_MKL369			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	4	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55491	CPD_0011	BATCH_ID_OIK584			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	>	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55491	CPD_0012	BATCH_ID_HDU567			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	2	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55491	CPD_0013	BATCH_ID_ADP734			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 19606		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	>	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55491	CPD_0014	BATCH_ID_PLS585	Compound-K-0014	BATCH-PLS	NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 69105		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	2	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_NBT_03	ELN-ND-55491	CPD_0015	BATCH_ID_SDZ617			NBT	NBT@GNA-NOW.com	11/8/2021	Bacteria	#NA (not applicable)	ACIBA 69105		MIC	GNA-NOW_NBT_MIC_v01.pdf				MIC	Single value	=	64	mg/L		MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63287	CPD_0001	BATCH_ID_AYC789			HZI	HZI@GNA-NOW.com	17/3/2020	Bacteria	#NA (not applicable)	PSEAE PA01		Accumulation	GNA-NOW_HZI_Accumulation_v01.pdf				Amount_cpd_in_fraction_Whole_Cell	Average	=	0	pmol/ 100 µl bacterial culture	0.001204983743	MHB2	#NA (not applicable)	NV (non valid)	value too low, not higher than background
	GNA-NOW_HZI_02B	ELN-FU-63287	CPD_0002	BATCH_ID_DGZ159			HZI	HZI@GNA-NOW.com	17/3/2020	Bacteria	#NA (not applicable)	PSEAE PA01		Accumulation	GNA-NOW_HZI_Accumulation_v01.pdf				Amount_cpd_in_fraction_Whole_Cell	Average	=	1.126844558	pmol/ 100 µl bacterial culture	0.2309957137	MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63287	CPD_0003	BATCH_ID_MKG248			HZI	HZI@GNA-NOW.com	17/3/2020	Bacteria	#NA (not applicable)	PSEAE PA01		Accumulation	GNA-NOW_HZI_Accumulation_v01.pdf				Amount_cpd_in_fraction_Whole_Cell	Average	=	0.8185927206	pmol/ 100 µl bacterial culture	0.09725088228	MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63287	CPD_0004	BATCH_ID_BDO149			HZI	HZI@GNA-NOW.com	17/3/2020	Bacteria	#NA (not applicable)	PSEAE PA01		Accumulation	GNA-NOW_HZI_Accumulation_v01.pdf				Amount_cpd_in_fraction_Whole_Cell	Average	=	0.0000001238290723	pmol/ 100 µl bacterial culture	0.001438574033	MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63287	CPD_0005	BATCH_ID_JNZ135			HZI	HZI@GNA-NOW.com	17/3/2020	Bacteria	#NA (not applicable)	PSEAE PA01		Accumulation	GNA-NOW_HZI_Accumulation_v01.pdf				Amount_cpd_in_fraction_Whole_Cell	Average	=	1.122716922	pmol/ 100 µl bacterial culture	0.1411820382	MHB2	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63288	CPD_0001	BATCH_ID_AYC789			HZI	HZI@GNA-NOW.com	3/8/2020	Bacteria	#NA (not applicable)	ESCCO 25922		Fractionation	GNA-NOW_HZI_Fractionation_v01.pdf				Amount_cpd_in_fraction_Periplasm	Average	=	15.99961025	pmol/ 5 ml bacterial culture	1.813252657	MHB2 pH adjusted 5.0	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63288	CPD_0002	BATCH_ID_DGZ159			HZI	HZI@GNA-NOW.com	3/8/2020	Bacteria	#NA (not applicable)	ESCCO 25922		Fractionation	GNA-NOW_HZI_Fractionation_v01.pdf				Amount_cpd_in_fraction_Cytoplasm	Average	=	119.2476244	pmol/ 5 ml bacterial culture	26.47574188	MHB2 pH adjusted 5.0	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63288	CPD_0003	BATCH_ID_MKG248			HZI	HZI@GNA-NOW.com	3/8/2020	Bacteria	#NA (not applicable)	ESCCO 25922		Fractionation	GNA-NOW_HZI_Fractionation_v01.pdf				Amount_cpd_in_fraction_Membrane	Average	=	33.89189448	pmol/ 5 ml bacterial culture	7.544699984	MHB2 pH adjusted 5.0	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63288	CPD_0004	BATCH_ID_BDO149			HZI	HZI@GNA-NOW.com	3/8/2020	Bacteria	#NA (not applicable)	ESCCO 25922		Fractionation	GNA-NOW_HZI_Fractionation_v01.pdf				Amount_cpd_in_fraction_SumFractions	Average	=	169.1390711	pmol/ 5 ml bacterial culture	23.52073698	MHB2 pH adjusted 5.0	#NA (not applicable)	V (valid)	
	GNA-NOW_HZI_02B	ELN-FU-63288	CPD_0005	BATCH_ID_JNZ135			HZI	HZI@GNA-NOW.com	3/8/2020	Bacteria	#NA (not applicable)	ESCCO 25922		Fractionation	GNA-NOW_HZI_Fractionation_v01.pdf				Amount_cpd_in_fraction_Whole_Cell	Average	=	175.8169817	pmol/ 5 ml bacterial culture	37.38717321	MHB2 pH adjusted 5.0	#NA (not applicable)	V (valid)	
